Syntax version=4
Wed Apr 07 12:21:56 2021
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		xEEGADSToMCUData[0]	xEEGADSToMCUData[1]	xEEGADSToMCUData[2]	xEEGADSToMCUData[3]	xEEGADSToMCUData[4]	xEEGADSToMCUData[5]	xEEGADSToMCUData[6]	xEEGADSToMCUData[7]	xEEGADSToMCUData[8]	xEEGADSToMCUData[9]	xEEGADSToMCUData[10]	xEEGADSToMCUData[11]	xEEGADSToMCUData[12]	xEEGADSToMCUData[13]	xEEGADSToMCUData[14]	xEEGADSToMCUData[15]	xEEGADSToMCUData[16]	xEEGADSToMCUData[17]	xEEGADSToMCUData[18]	xEEGMCUToBLEData[0]	xEEGMCUToBLEData[1]	xEEGMCUToBLEData[2]	xEEGMCUToBLEData[3]	xEEGMCUToBLEData[4]	xEEGMCUToBLEData[5]	xEEGMCUToBLEData[6]	xEEGMCUToBLEData[7]	xEEGMCUToBLEData[8]	xEEGMCUToBLEData[9]	xEEGMCUToBLEData[10]	xEEGMCUToBLEData[11]	xEEGMCUToBLEData[12]	xEEGMCUToBLEData[13]	xEEGMCUToBLEData[14]	xEEGMCUToBLEData[15]	xEEGMCUToBLEData[16]	xEEGMCUToBLEData[17]	xEEGMCUToBLEData[18]
D:	time(ms)	(0x200019e8,6)	(0x200019ec,6)	(0x200019f0,6)	(0x200019f4,6)	(0x200019f8,6)	(0x200019fc,6)	(0x20001a00,6)	(0x20001a04,6)	(0x20001a08,6)	(0x20001a0c,6)	(0x20001a10,6)	(0x20001a14,6)	(0x20001a18,6)	(0x20001a1c,6)	(0x20001a20,6)	(0x20001a24,6)	(0x20001a28,6)	(0x20001a2c,6)	(0x20001a30,6)	(0x20001ac8,6)	(0x20001acc,6)	(0x20001ad0,6)	(0x20001ad4,6)	(0x20001ad8,6)	(0x20001adc,6)	(0x20001ae0,6)	(0x20001ae4,6)	(0x20001ae8,6)	(0x20001aec,6)	(0x20001af0,6)	(0x20001af4,6)	(0x20001af8,6)	(0x20001afc,6)	(0x20001b00,6)	(0x20001b04,6)	(0x20001b08,6)	(0x20001b0c,6)	(0x20001b10,6)
D:	0.21	-44.129696	-42.749889	-43.411602	-42.790821	-43.937229	-44.726891	-41.328876	-43.095520	-42.412663	-42.242153	-42.994675	-42.187664	-43.907951	-41.732788	-43.204224	-43.085217	-41.384449	-43.481541	-41.876194	-44.129696	-42.749889	-43.411602	-42.790821	-43.937229	-44.726891	-41.328876	-43.095520	-42.412663	-42.242153	-42.994675	-42.187664	-43.907951	-41.732788	-43.204224	-43.085217	-41.384449	-43.481541	-41.876194
D:	4.06	-44.129696	-42.749889	-43.411602	-42.790821	-43.937229	-44.726891	-41.328876	-43.095520	-42.412663	-42.242153	-42.994675	-42.187664	-43.907951	-41.732788	-43.204224	-43.085217	-41.384449	-43.481541	-41.876194	-44.129696	-42.749889	-43.411602	-42.790821	-43.937229	-44.726891	-41.328876	-43.095520	-42.412663	-42.242153	-42.994675	-42.187664	-43.907951	-41.732788	-43.204224	-43.085217	-41.384449	-43.481541	-41.876194
D:	7.86	-44.129696	-42.749889	-43.411602	-42.790821	-43.937229	-44.726891	-41.328876	-43.095520	-42.412663	-42.242153	-42.994675	-42.187664	-43.907951	-41.732788	-43.204224	-43.085217	-41.384449	-43.481541	-41.876194	-44.129696	-42.749889	-43.411602	-42.790821	-43.937229	-44.726891	-41.328876	-43.095520	-42.412663	-42.242153	-42.994675	-42.187664	-43.907951	-41.732788	-43.204224	-43.085217	-41.384449	-43.481541	-41.876194
D:	11.66	56.399948	57.159519	58.029964	57.378555	58.608723	56.339767	57.749123	55.731190	56.317268	56.899551	57.542828	58.629326	55.639565	57.030483	56.642025	56.134560	57.916653	55.991428	57.704124	56.399948	57.159519	58.029964	57.378555	58.608723	56.339767	57.749123	55.731190	56.317268	56.899551	57.542828	58.629326	55.639565	57.030483	56.642025	56.134560	57.916653	55.991428	57.704124
D:	15.42	56.399948	57.159519	58.029964	57.378555	58.608723	56.339767	57.749123	55.731190	56.317268	56.899551	57.542828	58.629326	55.639565	57.030483	56.642025	56.134560	57.916653	55.991428	57.704124	56.399948	57.159519	58.029964	57.378555	58.608723	56.339767	57.749123	55.731190	56.317268	56.899551	57.542828	58.629326	55.639565	57.030483	56.642025	56.134560	57.916653	55.991428	57.704124
D:	19.13	56.399948	57.159519	58.029964	57.378555	58.608723	56.339767	57.749123	55.731190	56.317268	56.899551	57.542828	58.629326	55.639565	57.030483	56.642025	56.134560	57.916653	55.991428	57.704124	56.399948	57.159519	58.029964	57.378555	58.608723	56.339767	57.749123	55.731190	56.317268	56.899551	57.542828	58.629326	55.639565	57.030483	56.642025	56.134560	57.916653	55.991428	57.704124
D:	22.89	56.399948	57.159519	58.029964	57.378555	58.608723	56.339767	57.749123	55.731190	56.317268	56.899551	57.542828	58.629326	55.639565	57.030483	56.642025	56.134560	57.916653	55.991428	57.704124	56.399948	57.159519	58.029964	57.378555	58.608723	56.339767	57.749123	55.731190	56.317268	56.899551	57.542828	58.629326	55.639565	57.030483	56.642025	56.134560	57.916653	55.991428	57.704124
D:	26.83	-39.159138	-37.946045	-38.891579	-40.012775	-39.450821	-40.534607	-38.335590	-40.145607	-39.325855	-39.500160	-40.313946	-39.055855	-40.798370	-39.159138	-40.164852	-40.065907	-38.220383	-40.470360	-38.764713	56.399948	57.159519	58.029964	57.378555	58.608723	56.339767	57.749123	-40.145607	-39.325855	-39.500160	-40.313946	-39.055855	-40.798370	-39.159138	-40.164852	-40.065907	-38.220383	-40.470360	-38.764713
D:	30.65	-39.159138	-37.946045	-38.891579	-40.012775	-39.450821	-40.534607	-38.335590	-40.145607	-39.325855	-39.500160	-40.313946	-39.055855	-40.798370	-39.159138	-40.164852	-40.065907	-38.220383	-40.470360	-38.764713	-39.159138	-37.946045	-38.891579	-40.012775	-39.450821	-40.534607	-38.335590	-40.145607	-39.325855	-39.500160	-40.313946	-39.055855	-40.798370	-39.159138	-40.164852	-40.065907	-38.220383	-40.470360	-38.764713
D:	34.64	-39.159138	-37.946045	-38.891579	-40.012775	-39.450821	-40.534607	-38.335590	-40.145607	-39.325855	-39.500160	-40.313946	-39.055855	-40.798370	-39.159138	-40.164852	-40.065907	-38.220383	-40.470360	-38.764713	-39.159138	-37.946045	-38.891579	-40.012775	-39.450821	-40.534607	-38.335590	-40.145607	-39.325855	-39.500160	-40.313946	-39.055855	-40.798370	-39.159138	-40.164852	-40.065907	-38.220383	-40.470360	-38.764713
D:	38.86	-39.159138	-37.946045	-38.891579	-40.012775	-39.450821	-40.534607	-38.335590	-40.145607	-39.325855	-39.500160	-40.313946	-39.055855	-40.798370	-39.159138	-40.164852	-40.065907	-38.220383	-40.470360	-38.764713	-39.159138	-37.946045	-38.891579	-40.012775	-39.450821	-40.534607	-38.335590	-40.145607	-39.325855	-39.500160	-40.313946	-39.055855	-40.798370	-39.159138	-40.164852	-40.065907	-38.220383	-40.470360	-38.764713
D:	42.90	56.711964	56.188774	57.401325	55.080051	58.193699	54.908726	54.966740	52.587181	53.821144	54.592644	55.434353	56.520309	53.320728	54.693760	54.664482	54.001957	55.502125	53.680996	55.826881	-39.159138	-37.946045	-38.891579	-40.012775	-39.450821	-40.534607	-38.335590	52.587181	53.821144	54.592644	55.434353	56.520309	53.320728	54.693760	54.664482	54.001957	55.502125	53.680996	55.826881
