Syntax version=4
Tue Apr 27 19:12:45 2021
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		xEEGADSToMCUData[0]	xEEGADSToMCUData[1]	xEEGADSToMCUData[2]	xEEGADSToMCUData[3]	xEEGADSToMCUData[4]	xEEGADSToMCUData[5]	xEEGADSToMCUData[6]	xEEGADSToMCUData[7]	xEEGADSToMCUData[8]	xEEGADSToMCUData[9]	xEEGADSToMCUData[10]	xEEGADSToMCUData[11]	xEEGADSToMCUData[12]	xEEGADSToMCUData[13]	xEEGADSToMCUData[14]	xEEGADSToMCUData[15]	xEEGADSToMCUData[16]	xEEGADSToMCUData[17]	xEEGADSToMCUData[18]	xEEGMCUToBLEData[0]	xEEGMCUToBLEData[1]	xEEGMCUToBLEData[2]	xEEGMCUToBLEData[3]	xEEGMCUToBLEData[4]	xEEGMCUToBLEData[5]	xEEGMCUToBLEData[6]	xEEGMCUToBLEData[7]	xEEGMCUToBLEData[8]	xEEGMCUToBLEData[9]	xEEGMCUToBLEData[10]	xEEGMCUToBLEData[11]	xEEGMCUToBLEData[12]	xEEGMCUToBLEData[13]	xEEGMCUToBLEData[14]	xEEGMCUToBLEData[15]	xEEGMCUToBLEData[16]	xEEGMCUToBLEData[17]	xEEGMCUToBLEData[18]
D:	time(ms)	(0x20001904,6)	(0x20001908,6)	(0x2000190c,6)	(0x20001910,6)	(0x20001914,6)	(0x20001918,6)	(0x2000191c,6)	(0x20001920,6)	(0x20001924,6)	(0x20001928,6)	(0x2000192c,6)	(0x20001930,6)	(0x20001934,6)	(0x20001938,6)	(0x2000193c,6)	(0x20001940,6)	(0x20001944,6)	(0x20001948,6)	(0x2000194c,6)	(0x20001a14,6)	(0x20001a18,6)	(0x20001a1c,6)	(0x20001a20,6)	(0x20001a24,6)	(0x20001a28,6)	(0x20001a2c,6)	(0x20001a30,6)	(0x20001a34,6)	(0x20001a38,6)	(0x20001a3c,6)	(0x20001a40,6)	(0x20001a44,6)	(0x20001a48,6)	(0x20001a4c,6)	(0x20001a50,6)	(0x20001a54,6)	(0x20001a58,6)	(0x20001a5c,6)
D:	0.17	-2.358955	-2.781843	-2.372509	-146.197205	-147.020752	-97.538536	-93.932060	-115.008682	-113.164238	-123.738068	-202.119232	-35.364807	-49.312515	-64.282204	-80.670738	-73.656761	-85.847313	-74.268318	-30.431116	-2.358955	-2.781843	-2.372509	-146.197205	-147.020752	-97.538536	-93.932060	-115.008682	-113.164238	-123.738068	-202.119232	-35.364807	-49.312515	-64.282204	-80.670738	-73.656761	-85.847313	-74.268318	-30.431116
D:	3.09	-2.358955	-2.781843	-2.372509	-146.197205	-147.020752	-97.538536	-93.932060	-115.008682	-113.164238	-123.738068	-202.119232	-35.364807	-49.312515	-64.282204	-80.670738	-73.656761	-85.847313	-74.268318	-30.431116	-2.358955	-2.781843	-2.372509	-146.197205	-147.020752	-97.538536	-93.932060	-115.008682	-113.164238	-123.738068	-202.119232	-35.364807	-49.312515	-64.282204	-80.670738	-73.656761	-85.847313	-74.268318	-30.431116
D:	5.87	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544
D:	8.55	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544
D:	11.38	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544
D:	14.27	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544
D:	17.00	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544
D:	19.64	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544	1.102761	0.889149	1.712154	-71.910446	-45.653992	-16.182507	-46.870609	-54.743374	-82.525475	-114.966393	-109.929153	-22.977448	-26.808920	16.657442	-23.801537	-49.394382	-33.293743	-33.845123	-12.087544
D:	22.38	-0.632705	-1.550046	-1.081075	22.447212	73.186707	50.441845	28.110655	31.423819	-17.736349	82.584030	41.388790	-14.971856	-24.034666	-17.625206	41.255959	3.704063	20.272593	-27.142349	1.634082	-0.632705	-1.550046	-1.081075	22.447212	73.186707	50.441845	28.110655	31.423819	-17.736349	82.584030	41.388790	-14.971856	-24.034666	-17.625206	41.255959	3.704063	20.272593	-27.142349	1.634082
