Syntax version=4
Tue Apr 27 10:07:04 2021
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		xEEGADSToMCUData[0]	xEEGADSToMCUData[1]	xEEGADSToMCUData[2]	xEEGADSToMCUData[3]	xEEGADSToMCUData[4]	xEEGADSToMCUData[5]	xEEGADSToMCUData[6]	xEEGADSToMCUData[7]	xEEGADSToMCUData[8]	xEEGADSToMCUData[9]	xEEGADSToMCUData[10]	xEEGADSToMCUData[11]	xEEGADSToMCUData[12]	xEEGADSToMCUData[13]	xEEGADSToMCUData[14]	xEEGADSToMCUData[15]	xEEGADSToMCUData[16]	xEEGADSToMCUData[17]	xEEGADSToMCUData[18]	xEEGMCUToBLEData[0]	xEEGMCUToBLEData[1]	xEEGMCUToBLEData[2]	xEEGMCUToBLEData[3]	xEEGMCUToBLEData[4]	xEEGMCUToBLEData[5]	xEEGMCUToBLEData[6]	xEEGMCUToBLEData[7]	xEEGMCUToBLEData[8]	xEEGMCUToBLEData[9]	xEEGMCUToBLEData[10]	xEEGMCUToBLEData[11]	xEEGMCUToBLEData[12]	xEEGMCUToBLEData[13]	xEEGMCUToBLEData[14]	xEEGMCUToBLEData[15]	xEEGMCUToBLEData[16]	xEEGMCUToBLEData[17]	xEEGMCUToBLEData[18]
D:	time(ms)	(0x20001904,6)	(0x20001908,6)	(0x2000190c,6)	(0x20001910,6)	(0x20001914,6)	(0x20001918,6)	(0x2000191c,6)	(0x20001920,6)	(0x20001924,6)	(0x20001928,6)	(0x2000192c,6)	(0x20001930,6)	(0x20001934,6)	(0x20001938,6)	(0x2000193c,6)	(0x20001940,6)	(0x20001944,6)	(0x20001948,6)	(0x2000194c,6)	(0x20001a14,6)	(0x20001a18,6)	(0x20001a1c,6)	(0x20001a20,6)	(0x20001a24,6)	(0x20001a28,6)	(0x20001a2c,6)	(0x20001a30,6)	(0x20001a34,6)	(0x20001a38,6)	(0x20001a3c,6)	(0x20001a40,6)	(0x20001a44,6)	(0x20001a48,6)	(0x20001a4c,6)	(0x20001a50,6)	(0x20001a54,6)	(0x20001a58,6)	(0x20001a5c,6)
D:	0.11	26.463383	14.630722	31.588320	24.536440	23.774338	25.614058	23.301256	23.751884	23.196934	24.723600	21.952194	21.597166	20.795170	21.807436	21.388184	22.891380	22.867208	21.715763	21.921696	26.463383	14.630722	31.588320	24.536440	23.774338	25.614058	23.301256	23.751884	23.196934	24.723600	21.952194	21.597166	20.795170	21.807436	21.388184	22.891380	22.867208	21.715763	21.921696
D:	2.83	26.463383	-3.116358	14.818582	39.609524	39.749718	40.010136	38.626171	38.575325	37.864681	40.046959	38.703636	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696	26.463383	14.630722	31.588320	24.536440	23.774338	25.614058	23.301256	23.751884	23.196934	24.723600	21.952194	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696
D:	5.61	11.189562	-3.116358	14.818582	39.609524	39.749718	40.010136	38.626171	38.575325	37.864681	40.046959	38.703636	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696	11.189562	-3.116358	14.818582	39.609524	39.749718	40.010136	38.626171	38.575325	37.864681	40.046959	38.703636	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696
D:	8.29	11.189562	-3.116358	14.818582	39.609524	39.749718	40.010136	38.626171	38.575325	37.864681	40.046959	38.703636	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696	11.189562	-3.116358	14.818582	39.609524	39.749718	40.010136	38.626171	38.575325	37.864681	40.046959	38.703636	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696
D:	11.29	11.189562	-3.116358	14.818582	39.609524	39.749718	40.010136	38.626171	38.575325	37.864681	40.046959	38.703636	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696	11.189562	-3.116358	14.818582	39.609524	39.749718	40.010136	38.626171	38.575325	37.864681	40.046959	38.703636	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696
D:	14.08	11.189562	-3.116358	14.818582	39.609524	39.749718	40.010136	38.626171	38.575325	37.864681	40.046959	38.703636	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696	11.189562	-3.116358	14.818582	39.609524	39.749718	40.010136	38.626171	38.575325	37.864681	40.046959	38.703636	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696
D:	16.56	11.189562	-3.116358	14.818582	39.609524	39.749718	40.010136	38.626171	38.575325	37.864681	40.046959	38.703636	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696	11.189562	-3.116358	14.818582	39.609524	39.749718	40.010136	38.626171	38.575325	37.864681	40.046959	38.703636	36.882416	36.034538	36.734200	37.221832	38.362118	37.384350	37.941872	37.517696
D:	19.21	13.125562	0.330810	9.916652	50.299480	51.298599	49.813023	49.547592	48.903793	48.301132	50.668331	51.209641	48.087700	47.230473	47.462856	48.927921	49.680080	47.663231	50.049610	48.968449	11.189562	0.330810	9.916652	50.299480	51.298599	49.813023	49.547592	48.903793	48.301132	50.668331	51.209641	48.087700	47.230473	47.462856	48.927921	49.680080	47.663231	50.049610	48.968449
D:	21.93	13.125562	0.330810	9.916652	50.299480	51.298599	49.813023	49.547592	48.903793	48.301132	50.668331	51.209641	48.087700	47.230473	47.462856	48.927921	49.680080	47.663231	50.049610	48.968449	13.125562	0.330810	9.916652	50.299480	51.298599	49.813023	49.547592	48.903793	48.301132	50.668331	51.209641	48.087700	47.230473	47.462856	48.927921	49.680080	47.663231	50.049610	48.968449
